"","S1_Sabit","S2_Sabit","S3_Sabit","S4_Sabit","S1_Paz0","S1_Paz2","S2_Paz0","S2_Paz2","S3_Paz0","S3_Paz2","S4_Paz0","S4_Paz2","TitForTat_Std","TitForTat_Agg","TitForTat_Prm","Forgiving_TfT","Seasonal","Adaptive","SatAware","GrimTrigger","Alternating","Endgame"
"S4_Paz0",4897416.0048623,1739283.80207923,7169562.3222415,17801213.6786972,5290747.35597844,4414723.56309288,2006024.69851705,1349440.83065186,7580101.59544635,6644735.89002583,18284309.0958217,17105300.126267,7171369.71163621,1724738.58141104,17795416.4368044,7157063.2943608,8771500.64016289,17330520.4472431,17853923.4049421,7178196.58280912,4819096.30537282,6438617.96929197
"S4_Paz2",5391106.0978766,2272174.85194811,7725751.91228261,17879015.4283225,5827317.08518916,4909704.21569271,2590018.44966194,1921270.19003676,8146979.11921563,7116903.35807753,18289921.2833775,17182602.6108042,7745351.66037249,2276597.6393149,17919307.759682,7747328.02436222,9152839.95941268,16874183.0146728,16681794.0329246,7765365.18464922,5310717.76547184,7027852.05533118
"TitForTat_Std",11229891.567811,8166947.81767106,10730270.2286861,14631861.452426,11320842.5833829,11080854.9368084,8398323.81404012,7810379.82348024,10998835.6119256,10310831.899421,14722893.2867982,14472354.7894164,10725306.6431036,10875433.5737659,14626533.8722212,10734682.1082024,8773627.1990365,8756905.64984741,8777207.81172477,10719545.3640639,7687709.14325541,10275779.6119503
"TitForTat_Agg",4283103.40479796,1404268.82203133,12101640.3159307,12596166.4271901,4410076.90812019,4069637.82433537,1535201.62620058,1200384.66754144,12188476.1002771,12011363.6889453,12641260.4309078,12443108.5642431,1694981.76213275,3936998.78970628,1700692.78584834,1720662.41396002,1700065.01148914,1698046.46033375,1694107.40487928,1698140.65267933,6679114.12815658,10547880.9817457
"TitForTat_Prm",11082720.5699346,8128510.14515822,7357449.55291047,17824042.1410851,11183488.2527082,10927467.8631344,8332823.32264994,7740188.77912965,7785480.1646054,6777393.72640497,18276068.4213755,17135049.4462062,7353533.19151766,10798414.2621311,17813096.8251619,7348014.9178768,8667572.66887097,17025893.8179151,9863027.80403186,7353827.96489672,6682636.45172042,7298508.5966109
"Forgiving_TfT",11223075.5517041,7832257.6887837,10727326.1898158,14625860.658637,11326020.287273,11074053.2076377,8025967.36113449,7498652.00681393,11011955.4636204,10283980.6035491,14726317.1106769,14466187.3629278,10722499.9890077,10901891.1447072,14628634.588504,10727569.093833,10380345.3670335,10412574.4434199,10458741.5424852,10725153.2075093,7650332.95612134,9724076.82947356
"Seasonal",11099797.4027637,8137453.46893427,10587338.6969467,15792266.1824133,11200233.6471097,10940452.2014113,8366500.13495541,7749416.34040057,10869572.2594842,10123505.6715848,15920389.7383669,15533395.3277235,8464012.01084562,10803069.5644673,9853786.75589023,8778196.90678395,9161079.33884533,9199879.76564573,9392074.13786479,8470840.49313777,8049880.41125098,10047385.0140681
"Adaptive",11104460.3483984,8146325.46014756,10608762.9670617,16655612.7787509,11209704.9818094,10950353.2717561,8369151.99387761,7768132.49995538,10856677.797289,10133908.3017025,17045476.0995313,16120429.9729218,8457142.90917467,10804324.7739118,9959525.95334333,8777247.23769686,9154360.02723568,9184347.110062,9382482.29621652,8454030.14991396,7529510.33008345,10037141.4188121
"SatAware",11113033.9242397,8138463.04787991,10580242.5435055,16498688.6695329,11209201.5853965,10954206.1600782,8352010.73810755,7753882.78250545,10873373.4973102,10121642.6747733,16848969.0961772,16000610.1160227,8459974.45560121,10806441.4352408,10132260.8459129,8767201.36619371,9154140.88850267,9210110.29539872,9388366.53211473,8461209.79959953,7037567.44367887,10032374.8184673
"GrimTrigger",11230925.6255286,8196456.48571091,10729206.3104969,14635246.6166134,11326299.7240128,11084734.1278283,8416109.79836012,7794276.98406159,11000410.6310175,10296506.2422076,14729955.4856659,14482339.4593501,10734464.6260854,10879834.4302234,14636231.0769088,10717441.2654181,8743255.71513406,8765629.82757332,8755285.23398999,10744421.7163881,10104329.7018868,10289547.5854942
"Alternating",9832264.01429103,5166899.89495966,11387991.8182791,13249124.2733618,10066162.5815759,9462762.87836062,5412831.5127041,4832636.11703989,11563981.1551323,11059365.5109062,13317660.6758827,13096529.7944862,7841173.43678506,7632799.87387686,7915785.43809525,7991464.43387341,6950500.33716907,7511559.18544426,7758980.21132107,5310221.31780368,9199961.90779069,10471442.4589179
"Endgame",8812100.93947343,3711549.47206546,11153583.5046881,14381574.6927469,9107179.32253979,8372664.76988245,3959901.95848417,3388143.75708269,11401084.158329,10754185.8476358,14468244.717455,14229081.2690389,10438828.5764845,4224103.86863824,13679265.9411957,10487366.9990943,10382268.260559,10392990.8629428,10451874.6866645,10434167.7240912,7721126.7662064,10362446.4792752
